lat,lon,name
13.032046422453332,77.60950561346421,shanthi nikethan
12.927120623003566,77.68645249623852,vijayasri golden orchid
12.90190651053383,77.59030258944412,mahaveer springs
12.917767124093922,77.6892306572715,jasmine tower-5 block v
12.925522324761646,77.66946383649613,dsr regency
12.978223824937599,77.68407313938918,diya constructions
12.933162334296492,77.50531306898013,research scholars' hostel
13.0044084139944,77.62197835809216,north star
13.064071124017401,77.63876432284955,block-c
12.916847212376307,77.69774259495281,shakti 80 trees
13.00357164365799,77.62132716807069,pearl house
12.904281919362385,77.6855282240395,257
12.957701074586836,77.72113421466139,bellmount residency
13.066282540441971,77.55496592699814,ashirwad
12.94376563654257,77.687892154,i5
12.957524566278055,77.57516372890028,bmc driver's quarters
12.931581850856604,77.69602255088846,oak 1
12.899821159506104,77.67564527547437,kristal jasper
12.965186623844046,77.60496514286322,skyline olympia
12.96484699615927,77.64004672047915,mln raos
13.004526450001698,77.62653315000124,shakuntala nivas
13.072472418773637,77.62644543725104,aniket nilayam
12.991982699998331,77.66113574998697,sv serinity
12.906715549999623,77.63952279999957,911g
12.999095656751662,77.62369733146055,marko villa
12.917891700073724,77.67275243426405,divyashree elan - 1a
12.948662538141212,77.69324378434456,tower c
13.050631757199147,77.5956613759827,tower 9
13.003469038995805,77.62328258366549,samrat
12.863477574540092,77.53678481163949,tower 7
12.907598950003244,77.5527782499994,niveditha apartments
13.014388174401956,77.57922935584158,ranka enclave
12.866154345396437,77.58037497511613,radiant elitaire
12.980663100063607,77.69532610004387,vrr elegance
12.9975030245557,77.5834248567851,fascinate manor
12.998772868172658,77.62292535160839,laxmi nivas
12.991426685726385,77.70168302117307,a block
12.918021113418606,77.67385782584381,pratle - 1e
12.999064150012787,77.62298985001134,gp nest
12.907048897184477,77.6788196139563,vaishanavi orchid
12.916406015800488,77.69667244141577,block-j
12.927888582415328,77.6990415301339,g-2
12.995590313535862,77.73100072361363,tower 14
12.991321471712261,77.61593352742351,redifice arlington promenade
12.94783284163635,77.7174739112004,f
12.967199897322494,77.7502250509079,a block
12.972801592259996,77.6404885253705,vars magnolia
12.9082093737648,77.64150726541996,veena
12.955271979233123,77.64804186604266,block 20
12.99903039336023,77.62381771853913,padua
13.004639242679193,77.62145612151356,modi pride
12.982855510577687,77.72140281331733,circular apartment-1
12.966256933980132,77.7168731186791,parimala archid
12.861052749785625,77.53003455086903,tower 2
13.11675088520767,77.57692465899572,phase 2
12.965615447554312,77.7256366684076,tower j
13.03652617912713,77.6655826374295,sri gayathri prime
12.974502850045607,77.62487799997187,bhadra landmark
13.037302669311508,77.59738305595573,meridian garden
12.920154624068497,77.69499297697257,c2
12.925520043545932,77.67273552806755,feb 30 marigold coliving pg
12.899607900000001,77.621306,block b
12.920952500017764,77.53709205000635,elana
12.899038857107639,77.65319137760434,nd sepal d block
12.89819354397367,77.6739373681483,sathya nilayam
12.917200429387224,77.68990285581566,maple tower-5 block t
12.93219316049888,77.7457326081077,tower b
12.902360594219138,77.66278222966089,tower 1
12.9650771499952,77.53231099999685,sapthagiri nilaya
12.933396399964742,77.70410589848088,n m vihar
12.927520150015498,77.67249195000906,kaveri residency
12.921187236511395,77.49271473406144,block d-e
12.864245353816845,77.61146534993753,tower 15
12.929879365749878,77.66981557864057,block 6
13.001953900009962,77.62105085000832,little flower
12.95908935000933,77.72121895000377,sai enclave
13.000588100002869,77.62478239999297,high gates
12.933260785695142,77.70317507389414,block 2
13.00430725425028,77.62011464515938,marble arch apartments
12.97988000000699,77.63542005000384,moevents/fashon18
12.954845677520884,77.64771294000178,block 2
12.972140399974737,77.61811634995478,government science college boys' hostel
12.995647050053078,77.60352365004799,sweet home apartment
13.020022224218412,77.56614435828998,jnc president's house
13.002793095490205,77.61485816989233,plumeria
13.004593799999999,77.5669909,maithree apartments
12.979256452413692,77.71337527487937,maa nandanam
12.931868750005341,77.74393034998187,candeur signature block 4
12.999745042488556,77.59521788769665,maddox edge
12.900434223535056,77.66525306213485,tower 20
12.92985600000442,77.48535649999233,bilad laurel
13.122866458845253,77.62076937073279,nitesh columbus square apartments
13.08034163341847,77.64024911634388,tower f
12.929669250007967,77.48505730000636,pioneer lake view
12.95152231145287,77.57015049938083,adarsh manor
12.97445154999818,77.64070695000034,moodera
13.107798582779527,77.58000797301654,blue bell
12.969669328740475,77.66962698843263,block a
13.004596271091762,77.62327421098806,east villa
12.92660615002651,77.6646597000097,treasure
12.926335443980285,77.66810583424369,block 3
13.000053149998827,77.62335539999182,sree balaji nilaya
12.958142138890423,77.60401067475043,landmark
12.95940810497746,77.5690291991369,gopalan pushpanjali
13.00454405000195,77.6224577499828,ashley house
12.973384724518466,77.74765661479061,lavyuk's cattleya orchids
